ID,Girder Span,Max Girder Depth,Beam Span,Max Beam Depth,Deck Type,Design Priority,Acceleration Limit,Deflection,Girder Section, Beam Section, Girder Depth (in), Girder Percent Composite, Girder Studs, Girder Camber (in), Beam Camber (in), Girder Weight (lbs), Girder Cost ($), Footfall Acceleration (g), Deck Embodied Carbon, Concrete Embodied Carbon, Girder Embodied Carbon, Beam Embodied Carbon, Total Embodied Carbon, Beam Depth (in), Beam Percent Composite, Beam Studs, Beam Weight (lbs), Beam Cost ($), Beam Spacing (ft), Steel Unit Cost ($/sq-ft), Unit Steel Weight (psf),unit_total_embodied_carbon_kg_sq_ft, Unit Deck Embodied Carbon (kg/sq-ft), Unit Concrete Embodied Carbon (kg/sq-ft), Unit Steel Embodied Carbon (kg/sq-ft)
0,20,48,20,48,W3_4.50_NW_20g,EmbodiedCarbon,0.005,L/480,W18X35,W12X22,17.7,80,40,0.75,0.75,700,760,0.0017,989.023,2304.219918,368.3225,694.551,4356.116418,12.3,25,10,880,910,10,4.18,3.95,10.89,2.47,5.76,2.66
0,20,48,20,48,W3_4.50_NW_20g,Cost,0.005,L/480,W18X35,W12X22,17.7,80,40,0.75,0.75,700,760,0.0017,989.023,2304.219918,368.3225,694.551,4356.116418,12.3,25,10,880,910,10,4.18,3.95,10.89,2.47,5.76,2.66
0,20,48,20,48,W3_4.50_NW_20g,Tonnage,0.005,L/480,W18X35,W12X22,17.7,80,40,0.75,0.75,700,760,0.0017,989.023,2304.219918,368.3225,694.551,4356.116418,12.3,25,10,880,910,10,4.18,3.95,10.89,2.47,5.76,2.66
0,20,48,20,48,W3_4.50_NW_20g,EmbodiedCarbon,0.005,L/240,W18X35,W14X22,17.7,25,20,0.75,0,700,730,0.0016,989.023,2304.219918,368.3225,694.551,4356.116418,13.7,25,10,880,910,10,4.1,3.95,10.89,2.47,5.76,2.66
0,20,48,20,48,W3_4.50_NW_20g,Cost,0.005,L/240,W18X35,W14X22,17.7,25,20,0.75,0,700,730,0.0016,989.023,2304.219918,368.3225,694.551,4356.116418,13.7,25,10,880,910,10,4.1,3.95,10.89,2.47,5.76,2.66
0,20,48,20,48,W3_4.50_NW_20g,Tonnage,0.005,L/240,W18X35,W14X22,17.7,25,20,0.75,0,700,730,0.0016,989.023,2304.219918,368.3225,694.551,4356.116418,13.7,25,10,880,910,10,4.1,3.95,10.89,2.47,5.76,2.66
0,20,48,20,48,W3_3.50_NW_20g,EmbodiedCarbon,0.005,L/480,W18X35,W12X22,17.7,50,24,0.75,0.75,700,736,0.0021,989.023,1920.183265,368.3225,694.551,3972.079765,12.3,25,10,880,910,10,4.12,3.95,9.93,2.47,4.8,2.66
0,20,48,20,48,W3_3.50_NW_20g,Cost,0.005,L/480,W18X35,W12X22,17.7,50,24,0.75,0.75,700,736,0.0021,989.023,1920.183265,368.3225,694.551,3972.079765,12.3,25,10,880,910,10,4.12,3.95,9.93,2.47,4.8,2.66
0,20,48,20,48,W3_3.50_NW_20g,Tonnage,0.005,L/480,W18X35,W12X22,17.7,50,24,0.75,0.75,700,736,0.0021,989.023,1920.183265,368.3225,694.551,3972.079765,12.3,25,10,880,910,10,4.12,3.95,9.93,2.47,4.8,2.66
0,20,48,20,48,W3_3.50_NW_20g,EmbodiedCarbon,0.005,L/240,W18X35,W14X22,17.7,25,20,0.75,0,700,730,0.0019,989.023,1920.183265,368.3225,694.551,3972.079765,13.7,25,10,880,910,10,4.1,3.95,9.93,2.47,4.8,2.66
